CLDR,Meaning,Note,Unicode
anatomical-heart,"['A red anatomical heart, shown with blue or purple veins on some platforms.', 'Sometimes used interchangeably with ❤️ Red Heart.']",[],['\nAnatomical Heart was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.\n']
anchor,"['A metal device, dropped out of a boat to prevent it drifting away from the current location.', 'An anchor also refers to a place on a webpage that may be directly\xa0linked to, rather than simply loading a page and requiring a user to scroll to the correct location.']",[],['\nAnchor was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015.\n']
anger-symbol,"['A red symbol found in Anime/Manga and\xa0used\xa0to represent the\xa0veins popping on a very angry person.', 'Also\xa0used in other\xa0comic books to indicate a punch landed, perhaps next to the words “Bam” or “Pow”.']",[],['\nAnger Symbol was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
angry-face-with-horns,"['A face, usually purple, with two devil horns, frowning mouth and eyes, and eyebrows scrunched downwards in anger. Bears the same expression as 😠\xa0Angry Face and 😡\xa0Pouting Face on most platforms. Google’s design is red and Facebook’s has black horns, green eyes, and clenched teeth.', 'Its Unicode name, Imp, alludes to a small demon in folklore, though the smiley is commonly used to represent devils and devilish behavior, especially around Halloween. It is also used to convey various sentiments of anger or ideas of evil. More menacing than its counterpart, 😈\xa0Smiling Face With Horns.', 'Samsung previously depicted a childlike character with red hair and horns, fangs, and black wings. Earlier designs from Google featured an orangish-red character with blue hair and wings.']",[],['\nAngry Face with Horns was approved as part of Unicode 6.0 in 2010 under the name “Imp” and added to Emoji 1.0 in 2015.\n']
angry-face,"['A yellow face with a frowning mouth and eyes and eyebrows scrunched downward in anger.', 'Conveys varying\xa0degrees of anger, from grumpiness and irritation to disgust and outrage. May also represent someone acting tough or being mean.', ""Samsung’s design previously featured a reddish face with clenched teeth and wrinkled chin.\xa0Google’s design also previously featured\xa0a reddish face, while Facebook’s and Microsoft's earlier designs\xa0had\xa0clenched teeth.""]",[],['\nAngry Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
anguished-face,"['A yellow face with small, open eyes, open frown, and raised eyebrows. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey alarm, confusion, or sadness, as if gasping in shock or concern.', 'Bears the same eyes and mouth as 😦\xa0Frowning Face With Open Mouth on most platforms, but its eyebrows give it a more surprised expression.']",[],['\nAnguished Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.\n']
ant,"['An ant, a small, industrious insect that lives in a colony. Depicted as a black or red ant in full profile on its six legs facing left, with a prominent abdomen and antennae.', 'May be used to represent various insects or other bugs.', 'Facebook’s ant\xa0is\xa0red, as was a previous Microsoft design. Google’s ant was previously blue,\xa0Facebook’s black.']",[],['\nAnt was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
antenna-bars,"['Bars increasing in height, showing the strength of the mobile (cellular) phone\xa0signal. More bars signifies better reception.']",[],['\nAntenna Bars was approved as part of Unicode 6.0 in 2010 under the name “Antenna with Bars” and added to Emoji 1.0 in 2015.\n']
anxious-face-with-sweat,"[""A face with open eyes and a small, open frown. Its eyebrows are furrowed, with a single bead of cold sweat dripping down, and its forehead is pale blue, as if experiencing a cold flash. Samsung's design shows upper teeth and tongue."", 'Meaning widely varies, but commonly conveys such feelings as sadness, disappointment, fear, and anxiety. Similar to 😥\xa0Sad but Relieved Face, but with a blue head and larger frown.', 'Not to be confused with 😢\xa0Crying Face, 😪\xa0Sleepy Face, or other emojis with tear or sweat droplets. Microsoft and Samsung previously featured smileys that appeared more excited in expression.']",[],['\nAnxious Face with Sweat was approved as part of Unicode 6.0 in 2010 under the name “Face with Open Mouth and Cold Sweat” and added to Emoji 1.0 in 2015.\n']
aquarius,['The\xa0Aquarius astrological sign in the Zodiac. This Zodiac Symbol represents a Water-bearer.'],[],['\nAquarius was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.\n']
aries,['The\xa0Aries astrological sign in the Zodiac. This Zodiac Symbol represents a Ram.'],[],['\nAries was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.\n']
articulated-lorry,[],[],['\nArticulated Lorry was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
artist-dark-skin-tone,[],"['\nThe Artist: Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nArtist: Dark Skin Tone was added to Emoji 12.1 in 2019.\n']
artist-light-skin-tone,[],"['\nThe Artist: Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nArtist: Light Skin Tone was added to Emoji 12.1 in 2019.\n']
artist-medium-dark-skin-tone,[],"['\nThe Artist: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nArtist: Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.\n']
artist-medium-light-skin-tone,[],"['\nThe Artist: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nArtist: Medium-Light Skin Tone was added to Emoji 12.1 in 2019.\n']
artist-medium-skin-tone,[],"['\nThe Artist: Medium Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nArtist: Medium Skin Tone was added to Emoji 12.1 in 2019.\n']
artist-palette,"['A palette used by an artist when painting, to store and mix paint colors.']",[],['\nArtist Palette was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
